customer_id,age,tenure,balance,num_products,has_credit_card,is_active_member,estimated_salary,churn
1,56,3,1763,1,1,1,30750.896523176427,0
2,69,3,42,3,0,1,37426.28420165703,1
3,46,9,943,3,1,0,94244.15294179815,0
4,32,7,2390,3,1,0,97928.59757377981,0
5,60,5,1349,3,1,0,120174.35333512124,0
6,25,7,2411,1,1,0,45835.83835487541,0
7,38,9,890,3,1,0,91581.97005081346,0
8,56,1,2474,1,1,1,53333.71733180263,0
9,36,7,1004,3,0,1,41183.53434752336,0
10,40,6,20,2,0,1,79259.49528726656,0
11,28,9,406,3,0,1,49600.39777068687,0
12,28,1,1014,3,1,1,56613.83738307824,0
13,41,4,335,1,0,1,68106.54958434022,0
14,53,9,1838,3,1,0,61126.608089183545,0
15,57,4,1147,2,1,1,40510.95568871357,0
16,41,3,2446,1,1,1,40789.949383164276,1
17,20,9,1827,1,0,1,53189.92982810018,1
18,39,2,714,3,1,1,36067.10255514467,0
19,19,4,50,1,1,0,105174.84236123126,0
20,41,6,323,1,0,0,64479.20598106823,1
21,61,2,788,1,0,1,63569.516132288525,0
22,47,8,140,1,1,0,69839.79530853181,0
23,55,8,469,1,1,0,109535.5529051666,1
24,19,1,786,1,0,1,134476.06577801885,0
25,38,3,1825,2,0,1,121090.4319066766,0
26,50,9,1357,3,0,1,117303.5076270114,0
27,29,5,1916,2,1,1,88126.94227210191,0
28,39,6,963,1,0,1,113256.66683608941,1
29,61,4,372,1,0,0,96331.48416402997,0
30,42,2,1692,3,0,1,55950.063382383465,0
31,66,8,1179,2,1,1,55030.60412892609,0
32,44,6,2338,3,0,1,65567.04082503401,0
33,59,5,1671,2,0,0,139296.32051637757,0
34,45,9,105,1,0,1,95689.7808455671,0
35,33,1,1443,3,0,1,118068.64524022433,1
36,32,5,1681,3,0,1,71587.0511779857,0
37,64,6,1,1,1,0,78925.89247982703,0
38,68,5,2137,3,1,1,45067.869436470166,0
39,61,6,349,2,1,1,50555.39493860044,0
40,69,6,1286,2,0,1,129282.78657913746,1
41,20,7,1062,2,1,0,100180.63580266584,0
42,54,4,2206,2,1,1,70503.89590605827,0
43,68,8,2359,1,1,1,126342.14507946551,0
44,24,7,444,3,0,1,59582.38867655796,0
45,38,9,2345,2,0,0,147123.92383202445,0
46,26,7,951,1,1,1,71378.11292954037,0
47,56,3,35,3,1,1,70477.31449814732,0
48,35,3,1107,3,0,1,67429.42866440464,1
49,21,8,1475,1,0,0,44653.381910914555,0
50,42,5,1798,1,1,0,43336.45767984149,1
51,31,4,1845,2,0,1,107772.6041440948,0
52,67,8,1408,3,1,0,135014.16534696566,0
53,26,6,1195,3,0,0,124862.46123260082,0
54,43,2,1399,1,1,0,46932.91128256213,0
55,19,4,1708,3,1,1,95469.85461504798,0
56,37,4,1385,2,0,1,42670.9855171968,0
57,45,6,2188,3,1,0,35435.357233569295,0
58,64,6,1300,1,1,0,108766.30312617208,1
59,24,1,1243,1,1,0,94218.28004164204,0
60,61,8,520,2,0,1,39842.8422253765,0
61,25,6,1806,2,0,1,34192.709568718616,1
62,64,3,9,3,0,0,148770.76960912015,0
63,52,9,983,3,1,0,33602.55985788863,0
64,31,2,2425,1,0,0,83343.39036601916,0
65,34,8,1656,2,1,0,90554.28295292347,0
66,53,3,1660,2,1,1,44073.617736053406,0
67,67,5,2199,2,0,0,50287.41341276595,1
68,57,6,719,3,0,1,72216.6007692423,0
69,21,6,1072,2,1,0,121401.1051456395,0
70,19,4,858,1,1,0,90849.890887232,0
71,23,3,1316,1,0,0,106548.22494635539,0
72,59,4,1603,3,0,0,148220.94661088096,0
73,21,1,49,3,0,0,122160.65223758516,0
74,46,4,145,2,1,1,82123.37977694612,0
75,35,1,914,3,1,0,83573.03061558586,0
76,43,1,1462,1,1,0,104252.6492449206,0
77,61,6,2289,2,1,0,109843.82501026853,0
78,51,5,580,1,1,1,90085.31110040055,0
79,27,4,1584,2,0,1,107383.34673779759,0
80,53,3,482,3,0,1,32823.89932969185,0
81,31,1,1249,2,1,1,81554.7436676213,1
82,48,6,672,2,1,0,63472.56912881721,0
83,65,2,630,1,0,0,45500.933429173245,0
84,32,8,661,1,0,0,41945.58153705302,0
85,25,5,2466,2,0,1,102383.0598737601,0
86,31,7,987,3,0,0,92832.0656583134,1
87,40,2,1546,3,1,0,60430.0940395643,0
88,57,8,649,1,0,1,86514.00705270174,1
89,38,2,968,3,1,1,89067.877821889,0
90,33,4,1100,1,0,1,53401.077652633896,0
91,62,1,440,3,0,0,108251.16742579808,1
92,35,5,920,2,0,0,123710.32276633085,0
93,64,9,769,1,1,1,124975.62490674228,0
94,41,1,1343,1,1,0,102296.37968441461,0
